latitude;longitude;altitude (m)
40.903597227;71.755060222;399.0
40.894144272;71.729510018;398.2
40.893013015;71.706045954;394.0
40.886192530;71.692991002;397.5
40.874501596;71.672820700;393.9
40.874816459;71.646402657;392.9
40.879339125;71.627826847;392.8
40.874720611;71.617541688;393.0
40.876588830;71.601793912;389.5
40.880468780;71.591145743;390.0
40.876290678;71.575326692;387.0
40.870417086;71.550477229;391.5
40.870926305;71.528951465;388.8
40.869919777;71.496027129;385.8
40.871174799;71.480217529;385.0
40.880638233;71.475147418;382.0
40.881482461;71.456891425;383.0
40.883477336;71.431592790;393.2
40.881724148;71.400200767;383.1
40.867098965;71.394189378;381.1
40.875506468;71.379381289;381.4
40.877880487;71.364539952;380.0
40.888925513;71.346888891;381.5
40.883543503;71.323007585;379.0
40.866078558;71.330212334;378.0
40.864737499;71.316470320;377.7
40.870717893;71.286173712;377.6
40.864563898;71.256647281;376.0
40.854398673;71.232182158;372.3
40.855190905;71.221931577;374.3
40.848773673;71.203564772;378.6
40.842820347;71.194813732;377.6
40.828459977;71.185760836;371.3
40.830882618;71.154243742;369.0
40.839372552;71.129870792;370.9
40.845802380;71.047784893;367.5
40.839011564;71.038654800;370.2
40.822343908;71.036483761;370.4
40.800808649;71.049366862;371.7
40.782984950;71.062714145;365.0
40.778549496;71.055565342;365.0
40.784720281;71.031696423;371.1
40.810926045;71.014433435;364.3
40.812956580;70.987554327;367.7
40.736363537;70.885437972;364.9
40.727525951;70.875428938;363.6
40.728269195;70.865406125;360.0
40.729755836;70.845359463;360.0
40.724683506;70.823193660;361.9
40.711604398;70.779808089;360.0
40.698513699;70.775609527;362.2
40.686402872;70.745015071;362.9
40.678020998;70.728792003;356.0
40.654716037;70.733394859;356.8
40.661105530;70.711494274;360.0
40.610511547;70.618111741;355.0
40.575394912;70.601113487;353.0
40.554137880;70.564471653;355.0
40.553817404;70.529202295;355.9
40.543697798;70.510334708;351.0
40.512183359;70.496370823;353.9
40.486735562;70.437947765;351.8
40.465886302;70.367532172;355.6
40.452387202;70.328197922;347.0
40.435828112;70.332465734;347.0
40.417702275;70.344293256;346.6
40.400223708;70.312074015;346.9
40.369577880;70.295013116;347.0
40.343130779;70.263434306;344.0
40.266584246;69.864198666;344.0
40.272284131;69.826514637;344.0
40.275745276;69.813724565;334.4
40.294339749;69.804652077;324.0
40.300003470;69.790383429;331.0
40.293980187;69.781005645;336.9
40.280491105;69.784453428;334.2
40.272026660;69.783500264;323.0
40.271739296;69.773542858;323.0
40.282838138;69.748726289;321.0
40.293737562;69.741247731;321.0
40.295578521;69.712893754;326.0
40.292891692;69.666671530;334.0
40.301130526;69.656417603;329.0
40.295575037;69.639652896;322.8
40.290274254;69.604344221;324.7
40.276834081;69.593033113;319.0
40.258702723;69.579787648;321.0
40.240559434;69.507035372;320.6
40.234408084;69.454279822;320.9
40.223246482;69.435681585;317.7
40.204012726;69.410065205;318.0
40.199803449;69.372567629;316.0
40.200405596;69.369140078;316.0
40.200672780;69.366840735;316.0
40.200269259;69.365403388;316.0
40.199213602;69.364323501;317.0
40.199787969;69.364072706;316.9
40.200197913;69.363907379;316.0
40.200368882;69.363509790;316.0
40.200044406;69.363048270;316.0
40.199718935;69.362691898;316.0
40.199393916;69.362336032;316.3
40.199150596;69.361989680;317.0
40.198748013;69.361415025;319.0
40.198507343;69.360967253;318.0
40.198264723;69.360513801;319.0
40.197860421;69.359721631;317.3
40.197539966;69.358837280;321.7
40.197220735;69.358170226;319.0
40.196982868;69.357405843;320.1
40.196825860;69.356757274;320.3
40.196831642;69.356235563;320.0
40.196839854;69.355612150;320.5
40.196927540;69.354993450;320.1
40.196855138;69.354148506;319.3
40.196777640;69.353720048;319.0
40.188060222;69.316582494;315.0
40.210886406;69.261014891;294.7
40.229262775;69.235627592;286.7
40.246402747;69.207258976;286.9
40.254118151;69.172489165;283.0
40.275208979;69.170753134;282.0
40.291709823;69.141748486;279.0
40.307972890;69.108056769;280.4
40.318162084;69.106447620;284.8
40.316907870;69.127507620;282.9
40.329795986;69.131488488;278.0
40.350648420;69.120389987;279.0
40.356276425;69.127595133;279.9
40.372486682;69.126613603;276.0
40.387064697;69.136067699;279.9
40.401364144;69.116319656;273.0
40.419126207;69.106205707;275.1
40.446217146;69.108977124;272.3
40.477181415;69.097546927;275.8
40.495401117;69.096748060;270.0
40.509855612;69.074310034;270.0
40.541204544;69.073503907;272.2
40.560276133;69.075440691;272.0
40.570453265;69.091111076;273.0
40.586224070;69.080723360;269.9
40.607090746;69.069525841;269.5
40.634904628;69.060367107;267.2
40.643803841;69.046606530;266.3
40.648691644;69.015123088;267.6
40.649857766;68.995256098;267.0
40.670954341;68.980047390;267.0
40.672043421;68.961483218;268.0
40.693696403;68.954275983;265.7
40.718742417;68.923403254;266.4
40.721777222;68.908661863;261.0
40.740574353;68.905088945;261.0
40.751550709;68.893919045;265.3
40.767644118;68.883264438;263.3
40.783480115;68.858949184;264.8
40.785906464;68.834653080;264.8
40.832423714;68.796988994;261.3
40.835444562;68.761830731;262.0
40.845822972;68.742391687;257.6
40.850839960;68.726516821;256.0
40.862125108;68.727617625;259.5
40.862961301;68.712696095;255.8
40.891612329;68.716850083;255.0
40.915923471;68.687821690;253.0
40.931215231;68.653805565;253.0
40.951833788;68.635307688;251.7
40.968326904;68.635524868;254.0
40.973863228;68.666124522;252.0
40.984048883;68.668480108;253.0
41.008889756;68.610720123;251.0
41.028688871;68.607139717;250.0
41.030173946;68.579926829;250.5
41.005177612;68.565253435;252.0
41.024103694;68.520553438;254.0
41.052993677;68.501377981;249.5
41.070449304;68.503008972;249.0
41.090313692;68.459688369;249.0
41.108621818;68.425808832;249.0
41.111223335;68.376718107;249.0
41.100306338;68.329139231;249.0
41.101643931;68.223750997;249.0
41.107687996;68.125552881;249.0
41.123464924;68.078878892;249.0
41.146500798;68.051998742;249.0
41.248280457;67.958751570;235.9
41.294040478;67.981277518;230.0
41.309197088;68.044874586;235.1
41.334175422;68.074162673;233.0
41.359963348;68.087285243;232.1
41.404522449;68.091240771;234.0
41.438817955;68.097001190;231.2
41.514570385;68.065026042;230.9
41.552225510;68.066331142;229.0
41.593614288;68.052556715;227.2
41.645484133;68.037663947;228.0
41.697781419;68.030579116;226.0
41.752001560;68.040331903;221.8
41.805266691;68.100443792;223.6
41.821471698;68.104528913;221.3
41.835177855;68.100881452;218.9
41.860365980;68.091039745;222.3
41.928123630;68.121733855;219.2
41.973585031;68.150484428;217.7
42.042889196;68.192437184;215.9
42.101280995;68.208778246;214.6
42.155141643;68.202759037;211.0
42.197282275;68.242322750;211.9
42.244341843;68.253815881;207.0
42.258393765;68.255115329;207.0
42.323364421;68.261135912;206.0
42.365496764;68.265048032;204.0
42.398183875;68.246599554;204.6
42.439031793;68.240836365;202.0
42.464442244;68.226467316;205.0
42.509627745;68.204352163;204.1
42.555159614;68.175064418;199.6
42.566006587;68.204780473;198.9
42.645623786;68.233729650;199.1
42.667589345;68.252560713;198.7
42.708545001;68.244398098;196.3
42.746710020;68.221562687;195.8
42.755278909;68.191149301;200.9
42.792246260;68.192173752;194.8
42.790818204;68.220870959;196.1
42.830502683;68.202937764;194.3
42.846420274;68.202014464;191.0
42.844334057;68.172967522;193.0
42.851372010;68.137553464;192.0
42.869865746;68.120012707;192.6
42.891867127;68.138869765;192.0
42.935182483;68.154895304;191.7
42.953453711;68.142128012;192.2
42.964463001;68.133504700;192.0
42.965983449;68.102324864;192.4
42.976277804;68.071943260;190.4
42.985155230;68.034196016;191.0
42.988297011;68.005562424;190.1
43.010074953;67.993047305;194.7
43.025624809;67.963089159;189.2
43.027784681;67.917468028;187.1
43.044103206;67.870663679;187.0
43.047546177;67.834783226;187.0
43.079866281;67.823086376;186.9
43.119648256;67.840997001;185.0
43.142067972;67.852597856;184.6
43.184228190;67.847820012;184.8
43.203205338;67.837645568;187.0
43.220873938;67.829044853;182.7
43.220905334;67.801951090;182.3
43.238649543;67.791650456;180.2
43.247534074;67.812759313;181.8
43.253151796;67.798003287;183.8
43.276201514;67.779684994;182.0
43.292148726;67.808208948;181.0
43.314891242;67.796636066;181.0
43.331798286;67.777761322;181.0
43.333116148;67.749034622;177.0
43.335424249;67.725487637;180.4
43.350399027;67.721692984;178.6
43.361532327;67.748111942;181.4
43.362763583;67.721064772;178.2
43.356541156;67.695077505;178.7
43.337416101;67.681564130;175.0
43.311768238;67.675979899;174.2
43.323358727;67.665102504;177.9
43.339330065;67.666463967;177.0
43.365437613;67.661905547;177.5
43.371337930;67.640349816;177.8
43.377608626;67.610340308;176.8
43.388668974;67.611272222;177.0
43.392756966;67.630286886;176.9
43.400056715;67.632602443;177.0
43.403417600;67.612515466;176.0
43.411136584;67.577515094;176.1
43.414191265;67.564188581;175.1
43.435798910;67.577877517;176.4
43.446789068;67.580495522;174.9
43.446379452;67.561774995;173.0
43.426073114;67.546500105;175.5
43.416608257;67.537227011;174.2
43.432173025;67.519837982;169.0
43.443654706;67.539466464;175.1
43.456884786;67.547358159;173.1
43.483328393;67.507055517;175.0
43.522843032;67.506900336;171.0
43.551442214;67.502441940;167.0
43.587086046;67.478111933;171.5
43.628332504;67.438844068;164.0
43.648920159;67.420034155;164.0
43.647311761;67.410250511;168.4
43.652995848;67.391618490;167.4
43.667400703;67.393072579;169.0
43.677037979;67.393856552;167.6
43.686810776;67.391503780;168.9
43.688555234;67.377481168;169.8
43.698891275;67.375173075;170.6
43.704531067;67.363041023;165.8
43.712002488;67.347909252;164.8
43.719367971;67.348505644;168.4
43.744962372;67.348219117;167.0
43.749661094;67.344663688;164.0
43.750561291;67.323480583;166.0
43.733765605;67.317406849;169.6
43.728631246;67.304405312;164.4
43.741260782;67.301484117;163.6
43.755047487;67.284491101;167.2
43.778835367;67.286396577;165.0
43.802018704;67.255966594;165.5
43.806333388;67.223568351;164.4
43.807713363;67.214127207;163.9
43.839073153;67.216612154;166.0
43.866157883;67.203737349;164.8
43.890935949;67.198871397;162.0
43.896566838;67.181559144;160.0
43.897630769;67.155693825;159.0
43.922792060;67.141278339;162.9
43.933597975;67.068372453;161.2
43.956289264;67.041437987;161.5
43.961780837;67.026834506;162.6
43.987413980;67.024689810;162.0
44.002217145;67.023085164;162.0
44.006992695;67.001583457;160.0
43.996803474;66.985781918;159.0
43.992090773;66.955376318;155.0
43.999390189;66.919045326;155.0
43.969350996;66.882695980;153.9
43.967398068;66.856625739;157.3
43.956264853;66.839441760;157.0
43.941365306;66.817900787;157.0
43.942322684;66.766152024;156.5
43.959928501;66.741492162;154.2
43.958672365;66.722309039;154.0
43.956198395;66.682583241;156.3
43.957677533;66.641771197;152.0
43.958508451;66.618642746;154.3
43.959383090;66.594151971;150.8
43.984011939;66.591736788;154.0
43.983756958;66.571251201;153.0
43.956027312;66.550279501;153.0
43.986387967;66.552320947;152.0
44.005188592;66.548121292;150.9
44.007027226;66.523669470;150.8
44.024392675;66.504341936;151.0
44.048047046;66.501809178;148.1
44.072542646;66.503426471;151.0
44.087841778;66.515375389;149.0
44.101419212;66.520378431;150.4
44.105358247;66.491899886;149.0
44.124964177;66.493182487;149.5
44.135004099;66.486995732;145.0
44.126982011;66.463201811;150.9
44.109617677;66.453864140;149.0
44.134222030;66.423965842;148.0
44.160697708;66.425663852;148.2
44.159806100;66.394091767;143.0
44.196852595;66.403284842;146.8
44.219607471;66.399237471;144.8
44.220824252;66.421266693;146.0
44.247646721;66.384538234;146.7
44.260411223;66.385336692;145.3
44.275421315;66.378030475;145.0
44.276622872;66.342381420;145.1
44.290329111;66.344599163;143.2
44.303101730;66.345383903;140.0
44.304166476;66.313806672;143.7
44.308917314;66.289343482;142.7
44.334883407;66.278519718;144.7
44.355698343;66.250984398;143.2
44.368344967;66.265144090;139.0
44.386198278;66.266277985;143.6
44.402859251;66.267340205;139.7
44.388719201;66.226349059;139.7
44.408141649;66.215881262;141.0
44.408964468;66.190872657;144.3
44.421516687;66.171609100;143.1
44.451310579;66.171797450;141.9
44.438817537;66.152639867;140.0
44.444216835;66.132926506;138.9
44.435997798;66.129079279;141.3
44.450961677;66.108283936;137.9
44.462855961;66.109012834;138.3
44.477287069;66.104882723;140.4
44.478074638;66.079865353;137.9
44.471252880;66.069427487;139.4
44.472239936;66.037751080;136.0
44.460605761;66.028703102;136.0
44.469545953;66.009199109;139.0
44.470463747;65.979197077;138.1
44.477953121;65.967950033;138.6
44.483962384;65.926559504;140.1
44.498828100;65.907383945;134.0
44.504464307;65.957817563;140.0
44.531073962;65.944340340;133.4
44.554855856;65.945731945;135.2
44.572199347;65.923336467;137.0
44.598506278;65.919848984;136.0
44.620303369;65.907727495;135.1
44.628774983;65.903196515;133.8
44.636302006;65.890239036;132.2
44.647249185;65.882497823;135.0
44.654357176;65.842719906;134.6
44.675483124;65.812096448;131.7
44.668822561;65.794975224;132.8
44.730672038;65.798428271;132.0
44.750367139;65.776045413;130.1
44.736793256;65.750143686;130.8
44.744766743;65.720395842;130.8
44.750718628;65.677113634;129.6
44.747363450;65.624950568;129.2
44.748257365;65.591455785;127.1
44.756103298;65.565024494;129.1
44.761826082;65.528411265;130.0
44.795841025;65.503261209;129.7
44.817266925;65.504325374;127.0
44.839645072;65.468462365;126.5
44.872266614;65.404453790;124.4
44.890851393;65.376714760;126.2
44.913781694;65.365999843;123.4
44.937423530;65.326655302;125.4
44.973606644;65.311430419;123.0
44.985987907;65.293423530;123.0
44.986520535;65.271506818;120.7
44.982639949;65.234208330;123.0
44.977275986;65.208661244;122.0
44.987498300;65.180391374;120.6
44.999343829;65.133578658;119.9
45.011594230;65.120553117;120.0
45.012332544;65.088460869;118.3
44.995116393;65.057352060;119.0
45.009581466;64.998694930;118.4
45.022123937;64.972082271;120.6
45.002488344;64.940885178;118.0
44.971846235;64.921151331;114.5
44.976621153;64.865460951;114.3
44.987649123;64.791930001;114.9
44.988896641;64.734733102;113.0
45.018137100;64.698734530;114.9
45.035009151;64.685861588;113.8
45.040441982;64.652393254;112.4
45.057506857;64.629413707;112.0
45.057912962;64.609229748;110.5
45.058652885;64.572244203;113.7
45.073258411;64.552544265;111.5
45.074158911;64.505479545;109.3
45.093975000;64.459036053;109.3
45.106118854;64.442608915;109.4
45.137132365;64.430138671;108.6
45.142518323;64.393313311;109.1
45.183443017;64.354205155;107.3
45.221744728;64.328451152;106.1
45.252824491;64.309191425;107.2
45.272553752;64.259279464;105.1
45.289935370;64.205928713;105.2
45.327753434;64.207010803;104.5
45.361148951;64.187749496;101.9
45.384780049;64.188426859;101.0
45.413433592;64.169012601;100.7
45.423419211;64.132196480;99.8
45.442748560;64.102372191;99.0
45.476102838;64.083035876;101.0
45.472141695;64.025576460;98.3
45.472665923;63.985124280;98.6
45.473257174;63.937931040;99.4
45.485717051;63.884285630;95.8
45.530943178;63.854981990;96.0
45.577544629;63.910108629;93.0
45.603564865;63.907362823;93.0
45.622653933;63.890924460;98.7
45.642050592;63.847433586;97.2
45.651944562;63.807086356;92.0
45.673562184;63.773756197;94.9
45.690480091;63.736920396;95.6
45.707011619;63.737272324;90.0
45.708919175;63.781304157;93.0
45.737336328;63.775159785;92.0
45.737786200;63.731155411;90.0
45.740904256;63.653363511;87.0
45.713553941;63.609715981;86.8
45.670668356;63.451185729;87.1
45.643166542;63.370450155;85.0
45.637386443;63.336626709;86.5
45.604519058;63.323389079;85.0
45.602916088;63.302433181;82.0
45.603058238;63.301880520;82.0
45.603100084;63.300019596;82.0
45.602999764;63.298711461;82.0
45.602899397;63.297403546;82.0
45.602485729;63.295613911;82.0
45.602314417;63.294581156;82.0
45.601971786;63.292515797;82.0
45.601679324;63.291105099;85.0
45.601315867;63.289970565;83.7
45.600952427;63.288836152;87.9
45.600397100;63.287600149;84.3
45.599578356;63.286537783;84.0
45.598951827;63.285577702;86.0
45.598446442;63.284995563;86.0
45.597435738;63.283831401;82.0
45.596738301;63.283147322;82.0
45.596061866;63.281534051;82.0
45.595435396;63.280574772;82.0
45.594880058;63.279340213;82.0
45.594516828;63.278207727;82.0
45.593911481;63.276320480;82.0
45.593498046;63.274535105;82.0
45.593205862;63.273128004;82.0
45.593055907;63.271167176;82.0
45.593076959;63.270239157;82.0
45.593118876;63.268382693;82.0
45.593402671;63.267282074;82.0
45.593494532;63.266078578;82.0
45.593657345;63.264599590;82.0
45.594083110;63.262946236;82.0
45.594437885;63.261568606;82.0
45.594650703;63.260742034;82.0
45.595003937;63.259370248;82.0
45.595431405;63.257717066;82.2
45.595856234;63.256063835;82.9
45.595998081;63.255512417;82.6
45.596686392;63.253684748;83.4
45.597303399;63.252134419;82.0
45.597586835;63.251034449;82.0
45.598011938;63.249384580;82.0
45.598153641;63.248834613;82.0
45.598913371;63.246714925;82.0
45.599054946;63.246166604;82.0
45.599550433;63.244247405;82.0
45.599904325;63.242876502;82.0
45.600187454;63.241779768;82.0
45.600682870;63.239859854;82.0
45.601107437;63.238213541;82.0
45.601006456;63.236910827;82.0
45.600834996;63.235880644;82.0
45.600996986;63.234402120;82.0
45.601088180;63.233199017;82.0
45.601179347;63.231993741;82.0
45.601250118;63.231717846;82.0
45.600533949;63.226025989;82.0
45.593019071;63.194316014;82.0
45.585774493;63.162487378;82.0
45.589680369;63.149005779;85.4
45.663051738;63.086889045;81.0
45.699798031;63.034415478;83.7
45.722882487;62.931565600;77.8
45.726739598;62.885145938;85.2
45.696325788;62.848255945;78.9
45.680501799;62.792229118;76.8
45.698712238;62.749639439;79.0
45.716566557;62.664478438;75.6
45.715981289;62.632592464;76.0
45.753190711;62.637924142;76.0
45.791002808;62.627751336;73.0
45.828832701;62.607350996;72.0
45.796976844;62.577664953;71.6
45.763085560;62.502205451;70.0
45.739735723;62.434349505;70.0
45.769549665;62.375944049;69.0
45.734044407;62.324181222;66.0
45.748490718;62.255383429;69.6
45.745685243;62.206844926;66.1
45.759784556;62.176115530;66.0
45.731285502;62.138975549;67.0
45.733387688;62.067510035;64.0
45.723841695;62.047201784;65.8
45.688211642;62.013579336;65.6
45.688083678;61.986360376;64.1
45.664428371;61.986644839;63.1
45.657142489;61.949316715;64.2
45.699339920;61.877260522;63.4
45.730008499;61.859754740;63.1
45.734458587;61.811925359;64.0
45.731832118;61.771013946;62.7
45.729167605;61.726670554;65.0
45.783351649;61.684676472;61.8
45.821230698;61.680521589;64.0
45.852031942;61.679918200;62.1
45.866271369;61.683063877;60.4
45.873605472;61.717181047;62.0
45.892560510;61.716826239;61.2
45.897595404;61.764688015;59.3
45.919283315;61.829382813;59.8
45.952416936;61.821963820;59.7
45.992503667;61.783523588;58.3
46.008989653;61.762598612;57.6
46.037277489;61.731102904;57.8
46.055830765;61.658481491;55.5
46.076866995;61.606344469;58.0
46.088553324;61.578510683;57.4
46.092762762;61.502597481;63.1
46.111488253;61.464126317;54.0
46.097003480;61.433414757;56.2
46.075995292;61.364937403;54.6
46.034057548;61.293475035;54.5
46.030930764;61.214046135;52.2
46.020767345;61.148599025;56.2
46.031897695;61.075403841;56.0
46.071818108;61.025389152;52.5
46.095241071;60.989736836;47.9
46.092399450;60.948045502;48.7
46.091594454;60.878395592;48.0
46.129428159;60.852460981;43.0
46.165142412;60.847500449;39.0
